PDB Code,Ligand Name,C-C,C-N,C-O,C-F,C-P,C-S,C-Cl,C-Br,C-I,N-C,N-N,N-O,N-F,N-P,N-S,N-Cl,N-Br,N-I,O-C,O-N,O-O,O-F,O-P,O-S,O-Cl,O-Br,O-I,F-C,F-N,F-O,F-F,F-P,F-S,F-Cl,F-Br,F-I,P-C,P-N,P-O,P-F,P-P,P-S,P-Cl,P-Br,P-I,S-C,S-N,S-O,S-F,S-P,S-S,S-Cl,S-Br,S-I,Cl-C,Cl-N,Cl-O,Cl-F,Cl-P,Cl-S,Cl-Cl,Cl-Br,Cl-I,Br-C,Br-N,Br-O,Br-F,Br-P,Br-S,Br-Cl,Br-Br,Br-I,I-C,I-N,I-O,I-F,I-P,I-S,I-Cl,I-Br,I-I,Total Count,Binding Data
2i0a,2i0a_ligand,5550,1525,1622,0,0,8,0,0,0,536,154,158,0,0,0,0,0,0,20241,5338,5651,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,295,79,84,0,0,4,0,0,0,186,52,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41696,11.4
2hb3,2hb3_ligand,5475,1514,1597,0,0,11,0,0,0,383,113,116,0,0,0,0,0,0,21889,5690,5954,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,53,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43133,11.35
1pro,1pro_ligand,5948,1684,1794,0,0,0,0,0,0,577,173,179,0,0,0,0,0,0,4294,1164,1236,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17070,11.3
1hpx,1hpx_ligand,5130,1425,1504,0,0,2,0,0,0,804,221,233,0,0,0,0,0,0,2053,550,612,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,99,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13098,11.26
1d4y,1d4y_ligand,5265,1474,1587,0,0,0,0,0,0,321,93,96,0,0,1,0,0,0,18996,5015,5302,0,0,124,0,0,0,414,117,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,43,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39173,11.1
1eix,1eix_ligand,8128,2440,2330,0,0,92,0,0,0,1821,563,508,0,0,28,0,0,0,59141,16611,17126,0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,774,233,238,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110675,11.06
1lor,1lor_ligand,1656,469,429,0,0,14,0,0,0,362,106,101,0,0,2,0,0,0,19161,5319,5696,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,144,40,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33719,11.06
1dqx,1dqx_ligand,7826,2261,2350,0,0,95,0,0,0,1719,513,547,0,0,20,0,0,0,65924,18296,19790,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0,808,229,217,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121009,11.05
1q84,1q84_ligand,19127,4150,4903,0,0,77,0,0,0,3218,684,853,0,0,18,0,0,0,53642,14059,14689,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115749,11.05
1hvk,1hvk_ligand,6901,1915,2083,0,0,1,0,0,0,1237,349,363,0,0,0,0,0,0,1257,334,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14825,10.96
1m7y,1m7y_ligand,3503,985,965,0,0,21,0,0,0,576,158,164,0,0,4,0,0,0,42186,11206,12296,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,183,48,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72760,10.96
1hvi,1hvi_ligand,6735,1878,2017,0,0,0,0,0,0,1225,339,366,0,0,0,0,0,0,1242,331,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14506,10.92
1hxw,1hxw_ligand,5903,1640,1751,0,0,3,0,0,0,953,269,284,0,0,0,0,0,0,11405,3020,3218,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,77,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28951,10.82
1c4v,1c4v_ligand,5573,1468,1618,0,0,95,0,0,0,1068,295,326,0,0,26,0,0,0,13673,3704,3879,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,31,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32083,10.8
7std,7std_ligand,10690,2552,2315,0,0,69,0,0,0,758,178,160,0,0,6,0,0,0,45072,11987,12351,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86407,10.72
1dif,1dif_ligand,7280,2005,2177,0,0,6,0,0,0,1177,322,345,0,0,0,0,0,0,15212,4080,4340,0,0,118,0,0,0,392,105,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,49,55,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38013,10.66
1qbt,1qbt_ligand,7847,2210,2300,0,0,15,0,0,0,1201,356,352,0,0,6,0,0,0,948,256,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15762,10.62
1qbr,1qbr_ligand,6927,1950,2046,0,0,6,0,0,0,903,269,262,0,0,4,0,0,0,917,247,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,72,74,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14196,10.57
1g2o,1g2o_ligand,7395,2125,2169,0,0,33,0,0,0,2704,749,774,0,0,12,0,0,0,71574,20547,20823,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,696,195,195,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130282,10.55
1b8n,1b8n_ligand,2248,639,646,0,0,23,0,0,0,990,280,280,0,0,14,0,0,0,17963,5038,5193,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,227,62,63,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33866,10.52
1n46,1n46_ligand,9293,2311,2177,0,0,214,0,0,0,1273,327,288,0,0,26,0,0,0,16087,4133,4486,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40862,10.52
2f81,2f81_ligand,5437,1500,1600,0,0,26,0,0,0,572,168,171,0,0,4,0,0,0,23049,6027,6321,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,50,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45305,10.52
2fzz,2fzz_ligand,4048,1128,1284,0,0,94,0,0,0,928,264,297,0,0,25,0,0,0,430,117,139,0,0,11,0,0,0,310,112,101,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9296,10.52
5std,5std_ligand,15815,3742,3449,0,0,92,0,0,0,2172,498,476,0,0,12,0,0,0,33861,9016,9195,0,0,214,0,0,0,1350,352,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80564,10.49
1msm,1msm_ligand,5853,1625,1729,0,0,7,0,0,0,572,161,174,0,0,0,0,0,0,16082,4241,4445,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,49,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35278,10.48
1kzk,1kzk_ligand,6685,1828,1953,0,0,13,0,0,0,546,161,168,0,0,0,0,0,0,21901,5903,6155,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,46,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45746,10.39
1c4u,1c4u_ligand,4617,1204,1364,0,0,79,0,0,0,1064,280,331,0,0,25,0,0,0,13351,3581,3839,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,63,67,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30262,10.37
4std,4std_ligand,11002,2656,2399,0,0,61,0,0,0,764,186,172,0,0,6,0,0,0,21435,5705,5651,0,0,132,0,0,0,701,189,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51227,10.33
1c70,1c70_ligand,6401,1782,1934,0,0,5,0,0,0,693,189,215,0,0,0,0,0,0,10570,2841,2951,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27654,10.3
1hvs,1hvs_ligand,6696,1891,2049,0,0,0,0,0,0,1214,350,369,0,0,0,0,0,0,1056,289,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14245,10.3
1qbu,1qbu_ligand,5793,1661,1740,0,0,3,0,0,0,641,188,192,0,0,2,0,0,0,757,202,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,34,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11590,10.24
1xzx,1xzx_ligand,3427,866,806,0,0,75,0,0,0,216,56,55,0,0,4,0,0,0,8768,2325,2356,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,164,159,0,0,16,0,0,0,20083,10.22
1y6r,1y6r_ligand,5257,1403,1564,0,0,48,0,0,0,2225,584,648,0,0,20,0,0,0,23178,6240,6885,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,106,130,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48873,10.11
1sr7,1sr7_ligand,12537,2800,2842,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,38485,9544,10194,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,19,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77298,10.1
1sdu,1sdu_ligand,6162,1719,1854,0,0,26,0,0,0,819,226,256,0,0,4,0,0,0,18282,4778,5057,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39347,10.07
1n4k,1n4k_ligand,592,234,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17745,5348,5201,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,328,127,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29947,10.05
1nm6,1nm6_ligand,5410,1400,1583,0,0,102,0,0,0,952,248,287,0,0,25,0,0,0,23799,6475,6959,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,32,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47705,10.05
1bnn,1bnn_ligand,2138,551,500,0,0,13,0,0,0,417,117,105,0,0,1,0,0,0,13073,3491,3679,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,185,162,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25106,10
1gar,1gar_ligand,6486,1885,1832,0,0,55,0,0,0,1948,556,553,0,0,14,0,0,0,37714,10770,10972,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,313,92,92,0,0,2,0,0,0,257,71,72,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73947,10
1igj,1igj_ligand,7946,2008,2322,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,2069,497,580,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15478,10
1fjs,1fjs_ligand,5831,1635,1746,0,0,137,0,0,0,898,241,283,0,0,20,0,0,0,22968,6378,6873,0,0,426,0,0,0,235,80,75,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47834,9.96
1hvl,1hvl_ligand,6783,1870,2062,0,0,0,0,0,0,1231,342,368,0,0,0,0,0,0,1244,328,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14610,9.95
1hxb,1hxb_ligand,5992,1668,1816,0,0,5,0,0,0,1015,288,303,0,0,2,0,0,0,11131,2976,3137,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28407,9.92
1zsf,1zsf_ligand,6769,1859,1970,0,0,11,0,0,0,1142,295,311,0,0,3,0,0,0,14048,3712,3963,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,56,65,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34534,9.92
1a42,1a42_ligand,2101,554,489,0,0,12,0,0,0,605,162,150,0,0,4,0,0,0,8112,2123,2198,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,186,166,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17521,9.89
1bn3,1bn3_ligand,2137,561,495,0,0,13,0,0,0,415,116,104,0,0,1,0,0,0,15074,3993,4233,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,187,160,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28161,9.89
1pvn,1pvn_ligand,11269,3220,3632,0,0,171,0,0,0,3438,1008,1138,0,0,46,0,0,0,145445,39578,44637,0,0,1254,0,0,0,0,0,0,0,0,0,0,0,0,844,273,262,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256235,9.82
1zsr,1zsr_ligand,6780,1852,1978,0,0,13,0,0,0,1140,293,319,0,0,3,0,0,0,16839,4412,4743,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,63,72,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38867,9.82
1bnt,1bnt_ligand,2100,555,497,0,0,13,0,0,0,411,118,104,0,0,1,0,0,0,8924,2307,2443,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,184,161,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18474,9.8
456c,456c_ligand,6566,1502,1635,0,0,38,0,0,0,384,94,103,0,0,2,0,0,0,13684,3374,3797,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,81,88,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31757,9.77
1nh0,1nh0_ligand,4944,1331,1474,0,0,17,0,0,0,457,122,143,0,0,2,0,0,0,25002,6480,7032,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,83,85,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47709,9.74
2g00,2g00_ligand,3965,1112,1236,0,0,88,0,0,0,721,211,229,0,0,17,0,0,0,390,107,121,0,0,9,0,0,0,302,109,96,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8719,9.74
1z6e,1z6e_ligand,3370,969,1069,0,0,82,0,0,0,1175,331,378,0,0,25,0,0,0,20714,5683,6330,0,0,412,0,0,0,458,163,148,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41320,9.72
2i0g,2i0g_ligand,7860,1808,1787,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,3889,967,941,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17604,9.72
1a7x,1a7x_ligand,7296,1732,1762,0,0,6,0,0,0,307,77,77,0,0,0,0,0,0,19655,5314,5638,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41977,9.7
1bnu,1bnu_ligand,1881,492,442,0,0,11,0,0,0,410,120,105,0,0,2,0,0,0,8852,2319,2444,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787,217,193,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18296,9.7
1mrw,1mrw_ligand,5075,1422,1514,0,0,4,0,0,0,582,167,172,0,0,0,0,0,0,12187,3232,3427,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,47,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28133,9.7
1if8,1if8_ligand,2634,678,576,0,0,19,0,0,0,494,133,114,0,0,2,0,0,0,9225,2455,2583,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,65,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19282,9.64
7hvp,7hvp_ligand,6307,1662,1779,0,0,5,0,0,0,1181,297,329,0,0,0,0,0,0,10503,2809,2970,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27876,9.62
